MGR_RUNID,HL_DATE,HL_MARKET,Cntr,Region,Market,SubNetwork_2,PERIOD_START_TIME,PERIOD_DURATION,MeContext,UtranCell,pmAttNonBlindInterFreqHoCsSpeech12,pmCellDowntimeAuto,pmCellDowntimeMan,pmChSwitchAttemptUraFach,pmChSwitchSuccUraFach,pmDlTrafficVolumePs128,pmDlTrafficVolumePs16,pmDlTrafficVolumePs384,pmDlTrafficVolumePs64,pmDlTrafficVolumePs8,pmDlTrafficVolumePsCommon,pmDlTrafficVolumePsIntHs,pmDlTrafficVolumePsStr128,pmDlTrafficVolumePsStr16,pmDlTrafficVolumePsStr64,pmFailNonBlindInterFreqHoFailRevertCsSpeech12,pmNoDirRetryAtt,pmNoLoadSharingRrcConnCs,pmNoLoadSharingRrcConnPs,pmNoNormalNasSignReleaseCs,pmNoNormalRabReleaseSpeech,pmNoRabEstablishAttemptSpeech,pmNoRabEstablishSuccessSpeech,pmNoRabEstablishAttemptPacketInteractive,pmNoRabEstablishSuccessPacketInteractive,pmNoSysRelSpeechNeighbr,pmNoSystemNasSignReleaseCs,pmNoSystemRabReleaseSpeech,pmNoTimesCellFailAddToActSet,pmSamplesDchDlRlcUserPacketThp,pmSamplesHsDlRlcUserPacketThp,pmSamplesUlRssi,pmSuccNonBlindInterFreqHoCsSpeech12,pmSumBestAmr12200RabEstablish,pmSumBestAmr4750RabEstablish,pmSumBestAmr5900RabEstablish,pmSumBestAmr7950RabEstablish,pmSumBestAmrNbMmRabEstablish,pmSumBestAmrWbRabEstablish,pmSumBestCs12Establish,pmSumDchDlRlcUserPacketThp,pmSumHsDlRlcUserPacketThp,pmSumUlRssi,pmTotNoRrcConnectReqCs,pmTotNoRrcConnectReqCsSucc,pmTotNoRrcConnectReqPs,pmTotNoRrcConnectReqPsSucc
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06491A32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,4140,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06508A22,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,4778,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06720A22,0,0,0,229,229,0,0,0,0,0,1838,804812,0,0,0,0,0,0,0,0,4,1,1,184,184,0,0,0,0,488,8046,90,0,0,0,0,0,60,24,299,1531,7889067,5347,0,0,136,134
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06157A32,0,0,0,307,307,0,0,0,0,0,2006,228652,0,0,0,0,0,0,0,1,0,1,1,23,23,0,0,0,0,524,3207,90,0,0,0,0,0,13,218,2,1737,2233591,9832,1,1,18,18
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ06211C11,0,0,0,11,11,0,0,0,0,0,108,31044,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,26,2243,90,0,0,0,0,0,0,0,23,83,301552,4175,0,0,5,5
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ05463A62,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ06573A21,0,0,0,258,258,0,0,0,0,0,1451,308347,0,0,0,0,0,0,0,2,4,2,2,25,25,0,0,0,0,424,4422,90,0,0,0,0,0,0,0,218,1269,2933819,5054,2,2,10,10
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06075B12,0,0,0,35,35,0,0,0,0,0,148,555,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,49,66,90,0,0,0,0,0,0,0,0,138,5378,4674,0,0,0,0
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,UNJ06157A42,0,0,0,400,400,0,0,0,0,0,3115,914085,0,0,0,0,0,0,0,10,14,13,13,189,189,0,0,0,0,785,23948,90,0,0,0,0,0,11,185,192,2125,8927263,5457,6,6,100,100
1d522667-c651-41a3-813e-7497b49427be,2016-11-21 01:00,NY,1,North,NEW YORK,NYRNC065,2016-11-21 01:00,15,NYRNC065,PNJ06557C11,0,0,0,147,147,0,0,0,40,0,836,69182,0,0,0,0,0,0,0,3,3,3,3,8,8,0,0,0,0,236,1116,90,0,0,0,0,0,36,15,237,662,665139,5311,1,1,4,4
